번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
49,일반음식점,07_24_04_P,3310000,3310000-101-2023-00188,12/4/23,,03,폐업,02,폐업,1/2/24,,,,,0,608-821,부산광역시 남구 문현동 84-10,"부산광역시 남구 진남로 192, 1층 (문현동)",48423,밀집구역(milzipzone),1/2/24 9:44,U,1/4/24 2:40,기타,389276.6814,184666.0388,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
50,일반음식점,07_24_04_P,3460000,3460000-101-2023-00458,12/1/23,,03,폐업,02,폐업,8/13/24,,,,,135.27,706-835,대구광역시 수성구 수성동4가 1009-28 1층,"대구광역시 수성구 달구벌대로469길 20, 1층 (수성동4가)",42016,도쿄나이프,8/13/24 11:23,U,8/15/24 2:40,일식,,,일식,0,0,,,,0,0,0,0,0,,0,0,N,135.27,,,
51,일반음식점,07_24_04_P,4201000,4201000-101-2023-00581,11/30/23,,03,폐업,02,폐업,4/29/24,,,,,90,,강원특별자치도 강릉시 포남동 1160-27,"강원특별자치도 강릉시 남구길30번길 20, 1~2층 (포남동)",25545,호호,4/29/24 17:19,U,5/1/24 2:40,일식,367915.07,475500.2026,일식,0,0,기타,기타,상수도전용,0,0,0,0,0,,0,0,N,90,,,
52,일반음식점,07_24_04_P,3070000,3070000-101-2023-00413,12/1/23,,03,폐업,02,폐업,10/23/24,,,,,59,136-052,서울특별시 성북구 동선동2가 71,"서울특별시 성북구 보문로30길 43-4, 2층 (동선동2가)",02849,동선방(DONGSUNVIN),10/23/24 11:46,U,10/25/24 2:40,기타,201642.8041,454137.6029,기타,0,0,,,,0,0,0,0,0,,0,0,N,59,,,
53,일반음식점,07_24_04_P,4600000,4600000-101-2023-00138,12/1/23,,03,폐업,02,폐업,5/31/24,,,,,12.6,350-824,충청남도 홍성군 금마면 죽림리 406-6,충청남도 홍성군 금마면 충서로 1955,32280,우리분식,5/31/24 9:44,U,6/2/24 2:40,분식,173520.9995,345836.1968,분식,0,0,,,,0,0,0,0,0,,0,0,N,12.6,,,
54,일반음식점,07_24_04_P,3670000,3670000-101-2023-00662,11/30/23,,03,폐업,02,폐업,12/31/23,,,,,,305-340,대전광역시 유성구 도룡동 3-1,"대전광역시 유성구 엑스포로 1, 신세계엑스포점 지하1층 A99-84호 (도룡동)",34126,감자아일랜드,1/1/24 4:15,U,1/3/24 2:40,기타,234414.0079,319679.5356,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
55,일반음식점,07_24_04_P,3740000,5610000-101-2023-00441,11/27/23,,03,폐업,02,폐업,2/7/24,,,,,38.64,443-390,경기도 수원시 영통구 신동 384-8,"경기도 수원시 영통구 신원로 177, 1층 (신동)",16678,두툼,2/7/24 14:06,U,2/9/24 2:40,한식,205163.9672,416672.1493,한식,0,0,,,,0,0,0,0,0,,0,0,N,38.64,,,
56,일반음식점,07_24_04_P,4231000,4231000-101-2023-00251,11/24/23,,03,폐업,02,폐업,12/6/23,,,,,18,,강원특별자치도 속초시 동명동 383-1,,,황제비빔밥,12/7/23 4:15,U,12/9/23 2:40,한식,339560.7879,524084.3378,한식,0,0,,,,0,0,0,0,0,,0,0,N,18,,,
57,일반음식점,07_24_04_P,3560000,3560000-101-2023-00859,11/24/23,,03,폐업,02,폐업,7/19/24,,,,,39,,인천광역시 서구 청라동 105-101,"인천광역시 서구 옥빛로13번길 5, 1층 일부호 (청라동)",22765,부르르,7/19/24 9:10,U,7/21/24 2:40,분식,167400.5589,447052.2014,분식,0,0,,,,0,0,0,0,0,,0,0,N,39,,,
58,일반음식점,07_24_04_P,3110000,3110000-101-2023-00336,9/22/23,,03,폐업,02,폐업,1/18/24,,,,,59.88,122-960,서울특별시 은평구 갈현동 492-25,"서울특별시 은평구 연서로21길 29-1, 1층 101호 (갈현동)",03335,샹그리라 마라탕,1/18/24 12:57,U,1/20/24 2:40,기타,192383.1763,457009.5465,기타,0,0,학교정화(상대),자율,상수도전용,0,0,0,0,0,,0,0,N,59.88,,,
